job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,gpu_type
587131_ujQmo,1591029055,5722,moe__2.4B,1591059730.642,512,16,v100
587132_uhGr6,1591030573,9791,moe__1.3B,1591080110.5645,256,8,a40
587135_u7f9m,1591032180,8379,moe__2.4B,1591113649.017,256,8,a40
587137_uhGr6,1591035437,3764,moe__2.4B,1591061720.0,256,16,a40
587138_uhGr6,1591035878,6065,moe__2.4B,1591078217.765,256,16,a40
587139_u7I4U,1591036412,1855,moe__690M,1591060322.0225,512,2,a40
587140_uJjMX,1591036828,1214,moe__2.4B,1591045306.0,256,16,a40
587142_uJjMX,1591036845,1805,wide_resnet__500M,1591062926.3475,256,4,a10
587143_uJjMX,1591036936,2092,moe__2.4B,1591064986.582,256,4,a10
587144_uJjMX,1591036969,9643,moe__690M,1591101385.0,256,2,v100
587145_u7I4U,1591037074,4361,wide_resnet__4B,1591236171.094,256,16,a10
587146_u7I4U,1591037142,9050,moe__690M,1591070332.875,256,4,v100
587147_u7I4U,1591037344,8967,bert__760M,1591138303.453,128,2,a40
587148_u7I4U,1591037500,4453,moe__2.4B,1591069501.4845,256,16,a10
587149_u7I4U,1591037808,2216,moe__2.4B,1591053277.896,256,16,a40
587150_u7I4U,1591037983,6776,bert__2.6B,1591071971.416,128,16,v100
587151_u7I4U,1591038124,8347,bert__1.3B,1591120058.152,128,8,a40
587152_u7I4U,1591038508,7554,bert__1.3B,1591056750.91,128,8,a100
587153_u7I4U,1591038690,3284,moe__690M,1591058339.814,512,2,a100
587154_u7I4U,1591038890,1464,wide_resnet__1B,1591055219.456,256,8,a100
587155_u7I4U,1591039281,7986,moe__690M,1591089988.107,256,4,a10
587157_uJjMX,1591042488,9446,bert__2.6B,1591215973.236,128,4,a40
587158_u7I4U,1591042747,1302,moe__1.3B,1591044555.478,256,8,a100
587159_u7I4U,1591042764,5466,moe__1.3B,1591070419.227,256,8,a40
587160_u7I4U,1591042996,5438,bert__6.7B,1591213934.092,256,16,a40
587161_u7I4U,1591043675,6535,bert__1.3B,1591168656.875,128,2,a40
587162_u7I4U,1591043936,2149,wide_resnet__4B,1591125277.799,256,8,a100
587163_u7I4U,1591044177,6091,moe__2.4B,1591087949.9715,256,16,a10
587164_u7I4U,1591044721,5020,moe__2.4B,1591075262.68,256,8,v100
587165_u7I4U,1591044909,7190,moe__2.4B,1591112854.5,1024,16,v100
587166_u7I4U,1591045091,1470,moe__1.3B,1591051044.5,256,8,v100
587167_u7I4U,1591045096,8216,moe__2.4B,1591168114.168,512,16,a40
587168_u7I4U,1591045100,2925,bert__2.6B,1591098820.55,128,4,a40
587169_ujQmo,1591045286,9496,bert__760M,1591152201.464,128,2,a40
587170_ujQmo,1591045286,4914,moe__1.3B,1591122548.822,1024,8,v100
587171_u7I4U,1591045297,2035,moe__1.3B,1591057858.0375,256,8,a10
587172_u7I4U,1591045597,2976,wide_resnet__500M,1591129631.8,256,1,v100
587173_u7I4U,1591045613,9856,moe__10B,1591170966.536,256,8,a40
587174_u7I4U,1591045789,9500,moe__690M,1591098599.5,256,4,a40
