job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,gpu_type
0730acda-4851-7fe1-e2ba-d6fc5204dcc2,1991355,0,bert__760M,2000917,128,8,h100
feaf1258-b378-e7d3-123b-59437f690aa1,1991382,0,moe__690M,2005588,256,1,l20
da77e271-facc-42f9-3a5f-54f791f64432,1991460,0,bert__1.3B,2013332,256,2,h100
ceb2d5cc-a373-9cc8-cc90-5738fb409e19,1991478,0,bert__2.6B,2001758,128,4,l20
24d47934-be7c-46dc-2596-e7cc9e18ecaf,1991496,0,moe__690M,2001036,256,2,h100
110fd580-c509-8828-105a-add9fe169dbf,1991496,0,moe__2.4B,2009548,256,8,l20
ccfeed49-f7bf-feea-84c2-a9e008e96ce8,1991580,0,bert__760M,2009885,128,4,h100
40cbbfba-d336-6de8-7659-2713576f42b0,1991678,0,moe__1.3B,2006835,256,1,l20
19114045-f8a6-3474-754c-bd66f054e5c0,1991687,0,moe__1.3B,2008234,256,8,h100
19dcc345-2a68-4c3c-a49d-67755cf1e331,1991716,0,moe__10B,2006872,256,4,h100
6549d745-7dbc-9a50-6f7a-6ad3285758d9,1991728,0,bert__1.3B,2004163,128,4,l20
ac04dc60-228c-484f-a466-26c69dde3932,1991795,0,wide_resnet__2B,1994147,256,16,h100
4a60a96f-45ab-636d-5ea9-36fa444206e5,1992009,0,wide_resnet__500M,2008123,256,8,l20
383aa0cb-8cf7-89a9-2019-fe5210417536,1992091,0,moe__10B,2008520,256,8,l20
1307326e-3530-1ebb-f9dc-468307f1ba85,1992145,0,bert__2.6B,2006481,128,4,l20
7294dee8-5bd5-695c-7285-f309d95ad95f,1992146,0,moe__690M,2019854,256,8,h100
56374cad-f210-b14d-8191-2a8c8aa344f2,1992199,0,bert__760M,2010347,128,1,l20
ebfac797-7614-e5fb-be18-3db4a7884b34,1992219,0,bert__2.6B,1995025,128,4,l20
e8c6af60-d99f-966d-a1f6-8f25ad952db7,1992223,0,moe__690M,2012745,256,2,l20
9713eb2a-0c29-c03b-5d2b-89ed056da0a2,1992263,0,wide_resnet__500M,2008630,256,16,h100
38636214-9972-d2d0-5a50-bd3a8eb209bc,1992271,0,moe__2.4B,2006480,256,4,l20
ba5545b0-3c19-6700-d2e2-882fe3020950,1992292,0,moe__10B,2020308,256,4,h100
