job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,duration
c52391f2-c0e6-18f6-5a9b-a58634638bf0,240179,24029,vgg16,248944,128,1,9155                           
69ae6c75-11c7-7537-5639-755503109f0d,240179,27677,deepspeech2,249184,32,1,9155
77ba0b10-3c2b-836c-bfd6-277e63884e94,240179,16887,resnet50,245333,256,1,9161
8880ade1-844b-a88d-f2d0-8a26b27e7b9d,240179,44171,inception3,251560,64,1,9163
f7ddb1c3-fc7e-d140-60e5-85ab803e8d5f,240180,27413,deepspeech2,250652,32,1,9068
53b7a1d5-240f-d31c-ec65-7e3d88aca9f6,240180,66057,gpt2,252682,128,1,9038
9cb0e36b-a1ba-3dcb-ccbe-fa231cfcbd1d,240180,43867,inception3,249503,64,1,9100
ece91846-c2e1-4502-3036-0f505322ee8f,240180,32703,bert,250331,128,1,9148
a6719f38-a61f-60d8-8167-8e512c828b93,240180,23861,vgg16,249568,128,1,9091
1299a020-f157-8cad-c699-4e4839414a94,240180,16758,resnet50,251894,256,1,9091
ba42733c-4b59-0745-f29c-db17ba28a2b9,240182,65706,gpt2,250319,128,1,8990
d54bcec5-d918-7ff5-cd3a-9adb24cada76,240183,37293,gpt2,253833,256,1,9102
adaa9b78-48cf-ed22-9529-87bbb9a27cd5,240183,14352,deepspeech2,252937,64,1,8971
6dee4228-631a-ae61-778a-ad6e1a7d5a41,240183,66371,gpt2,253234,128,1,9081
9883c611-3c17-fa07-2944-12af3c782140,240183,14373,deepspeech2,252758,64,1,8984
d1f2be97-0bae-462c-704c-8a7d97955602,240183,61402,resnet50,250972,64,1,8973
34cd5d6f-52bd-d07b-07b5-c69a4a13de29,240184,27516,deepspeech2,250281,32,1,9102
46fc31db-55ca-982a-ca88-276436affc77,240184,62004,resnet50,246380,64,1,9061
f121434e-1010-a064-ce26-20ff328529a1,240185,27743,deepspeech2,248726,32,1,9177
8bb0cfe7-9f60-606f-35f1-d0a21a47d361,240185,16949,resnet50,244901,256,1,9195
a2c39075-3101-9662-55ef-572391bbca03,240186,27344,deepspeech2,252482,32,1,9045
360848bc-c7c8-1db1-20b1-d8261c78e2d3,240186,16765,resnet50,249081,256,1,9095
40dd4e0f-112c-8124-27d3-2d45ea24ea3a,240187,45881,vgg16,249511,64,1,9080
07083aa6-8d64-c7d3-54cf-479fbc006136,240187,54257,bert,252501,64,1,8997
cf7b3271-e118-8a69-4403-dae0bf3be31b,240188,16802,resnet50,249697,256,1,9115
28be894a-c6bb-2bbc-5461-74aaea258c65,242114,26690,gpt2,248838,256,1,6514
