job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,gpu_type
587131_ujQmo,1591029055,9344,wide_resnet__6.8B,1591672193.176,256,16,a40
587132_uhGr6,1591030573,3623,bert__1.3B,1591149882.013,256,2,v100
587135_u7f9m,1591032180,7210,moe__1.3B,1591068658.995,256,8,a40
587137_uhGr6,1591035437,4858,moe__10B,1591125227.414,256,4,a40
587138_uhGr6,1591035878,9202,bert__1.3B,1591191120.341,128,2,v100
587139_u7I4U,1591036412,3382,moe__690M,1591048815.485,256,4,v100
587140_uJjMX,1591036828,3442,bert__760M,1591045306.0,128,4,a100
587142_uJjMX,1591036845,9987,moe__2.4B,1591146172.689,256,4,a40
587143_uJjMX,1591036936,3335,moe__10B,1591172163.58,1024,8,a40
587144_uJjMX,1591036969,9442,bert__760M,1591101385.0,128,4,a40
587145_u7I4U,1591037074,8828,moe__10B,1591149352.918,256,8,a40
587146_u7I4U,1591037142,7840,moe__1.3B,1591134420.72,256,2,v100
587147_u7I4U,1591037344,6444,bert__1.3B,1591090758.316,128,2,a100
587148_u7I4U,1591037500,3192,bert__760M,1591059275.824,128,4,a40
587149_u7I4U,1591037808,5738,moe__1.3B,1591073225.805,256,8,a10
587150_u7I4U,1591037983,4627,wide_resnet__4B,1591280678.404,256,16,a40
587151_u7I4U,1591038124,4333,moe__1.3B,1591064869.4425,256,8,a10
587152_u7I4U,1591038508,6142,bert__760M,1591053635.746,128,4,a100
587153_u7I4U,1591038690,2436,moe__2.4B,1591055695.716,256,16,a40
587154_u7I4U,1591038890,2140,bert__6.7B,1591105170.08,128,8,a40
587155_u7I4U,1591039281,9058,moe__10B,1591206700.014,256,4,a40
587157_uJjMX,1591042488,5864,moe__1.3B,1591177691.316,256,1,a40
587158_u7I4U,1591042747,4833,moe__1.3B,1591072578.6925,256,8,a10
587159_u7I4U,1591042764,2033,wide_resnet__500M,1591069001.898,256,4,a40
587160_u7I4U,1591042996,4058,moe__2.4B,1591053143.029,256,8,a100
587161_u7I4U,1591043675,6202,moe__2.4B,1591115736.038,256,4,v100
587162_u7I4U,1591043936,2999,bert__2.6B,1591097418.6665,256,16,a10
587163_u7I4U,1591044177,4723,moe__10B,1591131472.209,256,4,a40
587164_u7I4U,1591044721,7996,bert__760M,1591128571.054,128,2,v100
587165_u7I4U,1591044909,4531,wide_resnet__4B,1591342786.002,256,4,a40
587166_u7I4U,1591045091,4686,moe__2.4B,1591113679.982,512,8,a40
587167_u7I4U,1591045096,4759,moe__10B,1591099148.722,256,16,a40
587168_u7I4U,1591045100,9440,moe__690M,1591105039.28,256,4,a10
587169_ujQmo,1591045286,9385,moe__1.3B,1591092769.4075,256,8,a40
587170_ujQmo,1591045286,5971,bert__2.6B,1591097529.2645,256,16,v100
587171_u7I4U,1591045297,9543,moe__1.3B,1591123353.9685,256,4,a40
587172_u7I4U,1591045597,2978,moe__2.4B,1591063715.152,256,8,v100
587173_u7I4U,1591045613,8635,moe__1.3B,1591116242.9825,256,4,a40
587174_u7I4U,1591045789,3763,wide_resnet__1B,1591188086.845,512,4,a40
587176_uJcI8,1591045952,4305,moe__1.3B,1591081016.225,256,4,v100
587177_u7I4U,1591046046,7141,moe__2.4B,1591076927.2545,256,4,a100
587178_u7I4U,1591046179,9911,moe__1.3B,1591096323.7045,256,8,a40
587179_u7I4U,1591046313,9304,moe__690M,1591098033.936,256,4,a40
587180_u7I4U,1591046316,7489,moe__1.3B,1591092541.8525,256,8,a10
587181_ujQmo,1591046320,9655,moe__2.4B,1591120600.7425,256,2,a100
587182_ujQmo,1591046320,4654,moe__690M,1591075870.573,256,4,a10
587183_u7I4U,1591046359,2237,bert__6.7B,1591115643.364,128,8,a40
587184_u7I4U,1591046804,8073,moe__1.3B,1591087649.3435,256,8,a40
587185_u7I4U,1591046807,9830,bert__1.3B,1591143298.28,128,8,a40
587186_u7I4U,1591046863,3989,moe__2.4B,1591090530.583,256,4,a40
587187_ujQmo,1591047319,6099,moe__10B,1591116591.442,256,16,a40
